"Diocese","public","bishop_pub"
"Albany",1983,1
"Albany",1998,1
"Albany",1999,1
"Albany",2001,1
"Albany",2002,10
"Albany",2003,14
"Albany",2004,11
"Albany",2005,1
"Albany",2006,1
"Albany",2007,2
"Albany",2008,1
"Albany",2009,2
"Albany",2010,2
"Albany",2011,1
"Albany",2012,1
"Albany",2013,1
"Albany",2014,3
"Albany",2018,13
"Albany",2019,11
"Alexandria",1970,1
"Alexandria",1976,1
"Alexandria",2002,2
"Alexandria",2005,1
"Alexandria",2006,1
"Alexandria",2013,1
"Alexandria",2019,21
"Allentown",1966,1
"Allentown",1968,1
"Allentown",1981,1
"Allentown",1987,1
"Allentown",1991,2
"Allentown",1995,1
"Allentown",1996,1
"Allentown",1997,2
"Allentown",2002,3
"Allentown",2004,10
"Allentown",2009,2
"Allentown",2010,4
"Allentown",2013,2
"Allentown",2016,2
"Allentown",2018,17
"Allentown",2019,1
"Allentown",2020,1
"Altoona-Johnstown",1988,1
"Altoona-Johnstown",1993,1
"Altoona-Johnstown",1999,1
"Altoona-Johnstown",2002,9
"Altoona-Johnstown",2003,10
"Altoona-Johnstown",2005,1
"Altoona-Johnstown",2012,1
"Altoona-Johnstown",2013,1
"Altoona-Johnstown",2014,1
"Altoona-Johnstown",2015,1
"Altoona-Johnstown",2016,15
"Altoona-Johnstown",2017,1
"Altoona-Johnstown",2019,4
"Amarillo",1992,1
"Amarillo",1999,1
"Amarillo",2002,5
"Amarillo",2019,19
"Anchorage",2003,2
"Anchorage",2004,1
"Anchorage",2005,1
"Anchorage",2011,1
"Arlington",1992,1
"Arlington",1994,1
"Arlington",1997,1
"Arlington",2005,1
"Arlington",2006,2
"Arlington",2012,1
"Arlington",2017,1
"Arlington",2018,3
"Arlington",2019,5
"Atlanta",1989,1
"Atlanta",1993,1
"Atlanta",1995,1
"Atlanta",2002,1
"Atlanta",2003,1
"Atlanta",2005,1
"Atlanta",2006,1
"Atlanta",2018,8
"Austin",2002,2
"Austin",2003,2
"Austin",2004,1
"Austin",2005,1
"Austin",2006,1
"Austin",2019,15
"Baker",1958,1
"Baker",1997,1
"Baker",2002,1
