"","dioceses","year","nexus"
"1","Mobile","1990",0
"2","Mobile","1991",0
"3","Mobile","1992",0
"4","Mobile","1993",0
"5","Mobile","1994",0
"6","Mobile","1995",0
"7","Mobile","1996",0
"8","Mobile","1997",0
"9","Mobile","1998",0
"10","Mobile","1999",0
"11","Mobile","2000",1
"12","Mobile","2001",0
"13","Mobile","2002",7
"14","Mobile","2003",3
"15","Mobile","2004",3
"16","Mobile","2005",0
"17","Mobile","2006",3
"18","Mobile","2007",8
"19","Mobile","2008",4
"20","Mobile","2009",5
"21","Mobile","2010",2
"22","Mobile","2011",3
"23","Mobile","2012",1
"24","Mobile","2013",0
"25","Mobile","2014",0
"26","Mobile","2015",3
"27","Mobile","2016",0
"28","Mobile","2017",1
"29","Mobile","2018",5
"30","Mobile","2019",22
"31","Anchorage","1990",0
"32","Anchorage","1991",0
"33","Anchorage","1992",0
"34","Anchorage","1993",0
"35","Anchorage","1994",0
"36","Anchorage","1995",0
"37","Anchorage","1996",0
"38","Anchorage","1997",0
"39","Anchorage","1998",0
"40","Anchorage","1999",0
"41","Anchorage","2000",0
"42","Anchorage","2001",0
"43","Anchorage","2002",0
"44","Anchorage","2003",0
"45","Anchorage","2004",0
"46","Anchorage","2005",0
"47","Anchorage","2006",13
"48","Anchorage","2007",4
"49","Anchorage","2008",16
"50","Anchorage","2009",3
"51","Anchorage","2010",3
"52","Anchorage","2011",1
"53","Anchorage","2012",0
"54","Anchorage","2013",0
"55","Anchorage","2014",0
"56","Anchorage","2015",0
"57","Anchorage","2016",0
"58","Anchorage","2017",0
"59","Anchorage","2018",0
"60","Anchorage","2019",0
"61","Los Angeles","1990",1
"62","Los Angeles","1991",0
"63","Los Angeles","1992",1
"64","Los Angeles","1993",2
"65","Los Angeles","1994",3
"66","Los Angeles","1995",0
"67","Los Angeles","1996",2
"68","Los Angeles","1997",0
"69","Los Angeles","1998",5
"70","Los Angeles","1999",4
"71","Los Angeles","2000",0
"72","Los Angeles","2001",0
"73","Los Angeles","2002",25
"74","Los Angeles","2003",9
"75","Los Angeles","2004",23
"76","Los Angeles","2005",15
"77","Los Angeles","2006",20
"78","Los Angeles","2007",96
"79","Los Angeles","2008",20
"80","Los Angeles","2009",425
"81","Los Angeles","2010",0
"82","Los Angeles","2011",4
"83","Los Angeles","2012",10
"84","Los Angeles","2013",27
"85","Los Angeles","2014",4
"86","Los Angeles","2015",18
"87","Los Angeles","2016",2
"88","Los Angeles","2017",4
"89","Los Angeles","2018",26
"90","Los Angeles","2019",54
"91","San Francisco","1990",1
"92","San Francisco","1991",0
"93","San Francisco","1992",0
"94","San Francisco","1993",0
"95","San Francisco","1994",0
"96","San Francisco","1995",0
"97","San Francisco","1996",0
"98","San Francisco","1997",0
"99","San Francisco","1998",2
"100","San Francisco","1999",1
"101","San Francisco","2000",2
"102","San Francisco","2001",0
"103","San Francisco","2002",16
"104","San Francisco","2003",1
"105","San Francisco","2004",10
"106","San Francisco","2005",6
"107","San Francisco","2006",1
"108","San Francisco","2007",5
"109","San Francisco","2008",4
"110","San Francisco","2009",3
"111","San Francisco","2010",2
"112","San Francisco","2011",5
"113","San Francisco","2012",5
"114","San Francisco","2013",2
"115","San Francisco","2014",2
"116","San Francisco","2015",0
"117","San Francisco","2016",0
"118","San Francisco","2017",0
"119","San Francisco","2018",2
"120","San Francisco","2019",44
"121","Denver","1990",0
"122","Denver","1991",0
"123","Denver","1992",0
"124","Denver","1993",3
"125","Denver","1994",0
"126","Denver","1995",0
"127","Denver","1996",0
"128","Denver","1997",0
"129","Denver","1998",0
"130","Denver","1999",0
"131","Denver","2000",2
"132","Denver","2001",0
"133","Denver","2002",8
"134","Denver","2003",2
"135","Denver","2004",3
"136","Denver","2005",1
"137","Denver","2006",9
"138","Denver","2007",7
"139","Denver","2008",24
"140","Denver","2009",2
"141","Denver","2010",24
"142","Denver","2011",20
"143","Denver","2012",6
"144","Denver","2013",2
"145","Denver","2014",1
"146","Denver","2015",1
"147","Denver","2016",0
"148","Denver","2017",0
"149","Denver","2018",3
"150","Denver","2019",15
"151","Hartford","1990",0
"152","Hartford","1991",0
"153","Hartford","1992",0
"154","Hartford","1993",0
"155","Hartford","1994",0
"156","Hartford","1995",0
"157","Hartford","1996",0
"158","Hartford","1997",0
"159","Hartford","1998",0
"160","Hartford","1999",0
"161","Hartford","2000",0
"162","Hartford","2001",0
"163","Hartford","2002",7
"164","Hartford","2003",1
"165","Hartford","2004",0
"166","Hartford","2005",0
"167","Hartford","2006",6
"168","Hartford","2007",1
"169","Hartford","2008",6
"170","Hartford","2009",5
"171","Hartford","2010",4
"172","Hartford","2011",0
"173","Hartford","2012",0
"174","Hartford","2013",1
"175","Hartford","2014",0
"176","Hartford","2015",0
"177","Hartford","2016",1
"178","Hartford","2017",0
"179","Hartford","2018",0
"180","Hartford","2019",2
"181","Miami","1990",1
"182","Miami","1991",0
"183","Miami","1992",0
"184","Miami","1993",1
"185","Miami","1994",0
"186","Miami","1995",0
"187","Miami","1996",0
"188","Miami","1997",0
"189","Miami","1998",1
"190","Miami","1999",3
"191","Miami","2000",0
"192","Miami","2001",0
"193","Miami","2002",2
"194","Miami","2003",4
"195","Miami","2004",1
"196","Miami","2005",0
"197","Miami","2006",3
"198","Miami","2007",2
"199","Miami","2008",12
"200","Miami","2009",0
"201","Miami","2010",2
"202","Miami","2011",3
"203","Miami","2012",1
"204","Miami","2013",0
"205","Miami","2014",0
"206","Miami","2015",0
"207","Miami","2016",1
"208","Miami","2017",0
"209","Miami","2018",0
"210","Miami","2019",8
"211","Atlanta","1990",1
"212","Atlanta","1991",0
"213","Atlanta","1992",0
"214","Atlanta","1993",1
"215","Atlanta","1994",1
"216","Atlanta","1995",0
"217","Atlanta","1996",0
"218","Atlanta","1997",0
"219","Atlanta","1998",0
"220","Atlanta","1999",1
"221","Atlanta","2000",0
"222","Atlanta","2001",0
"223","Atlanta","2002",7
"224","Atlanta","2003",3
"225","Atlanta","2004",4
"226","Atlanta","2005",5
"227","Atlanta","2006",2
"228","Atlanta","2007",5
"229","Atlanta","2008",11
"230","Atlanta","2009",3
"231","Atlanta","2010",4
"232","Atlanta","2011",1
"233","Atlanta","2012",6
"234","Atlanta","2013",4
"235","Atlanta","2014",2
"236","Atlanta","2015",4
"237","Atlanta","2016",2
"238","Atlanta","2017",2
"239","Atlanta","2018",5
"240","Atlanta","2019",4
"241","Chicago","1990",1
"242","Chicago","1991",0
"243","Chicago","1992",0
"244","Chicago","1993",2
"245","Chicago","1994",0
"246","Chicago","1995",0
"247","Chicago","1996",0
"248","Chicago","1997",0
"249","Chicago","1998",1
"250","Chicago","1999",0
"251","Chicago","2000",0
"252","Chicago","2001",0
"253","Chicago","2002",15
"254","Chicago","2003",9
"255","Chicago","2004",3
"256","Chicago","2005",4
"257","Chicago","2006",4
"258","Chicago","2007",6
"259","Chicago","2008",10
"260","Chicago","2009",6
"261","Chicago","2010",3
"262","Chicago","2011",8
"263","Chicago","2012",3
"264","Chicago","2013",2
"265","Chicago","2014",8
"266","Chicago","2015",12
"267","Chicago","2016",1
"268","Chicago","2017",0
"269","Chicago","2018",15
"270","Chicago","2019",15
"271","Fort Wayne - South Bend","1990",0
"272","Fort Wayne - South Bend","1991",0
"273","Fort Wayne - South Bend","1992",0
"274","Fort Wayne - South Bend","1993",0
"275","Fort Wayne - South Bend","1994",0
"276","Fort Wayne - South Bend","1995",0
"277","Fort Wayne - South Bend","1996",0
"278","Fort Wayne - South Bend","1997",0
"279","Fort Wayne - South Bend","1998",0
"280","Fort Wayne - South Bend","1999",0
"281","Fort Wayne - South Bend","2000",0
"282","Fort Wayne - South Bend","2001",0
"283","Fort Wayne - South Bend","2002",3
"284","Fort Wayne - South Bend","2003",0
"285","Fort Wayne - South Bend","2004",0
"286","Fort Wayne - South Bend","2005",0
"287","Fort Wayne - South Bend","2006",1
"288","Fort Wayne - South Bend","2007",0
"289","Fort Wayne - South Bend","2008",2
"290","Fort Wayne - South Bend","2009",0
"291","Fort Wayne - South Bend","2010",0
"292","Fort Wayne - South Bend","2011",0
"293","Fort Wayne - South Bend","2012",3
"294","Fort Wayne - South Bend","2013",4
"295","Fort Wayne - South Bend","2014",0
"296","Fort Wayne - South Bend","2015",0
"297","Fort Wayne - South Bend","2016",0
"298","Fort Wayne - South Bend","2017",0
"299","Fort Wayne - South Bend","2018",4
"300","Fort Wayne - South Bend","2019",0
"301","Indianapolis","1990",1
"302","Indianapolis","1991",0
"303","Indianapolis","1992",0
"304","Indianapolis","1993",0
"305","Indianapolis","1994",0
"306","Indianapolis","1995",0
"307","Indianapolis","1996",0
"308","Indianapolis","1997",0
"309","Indianapolis","1998",0
"310","Indianapolis","1999",0
"311","Indianapolis","2000",0
"312","Indianapolis","2001",0
"313","Indianapolis","2002",4
"314","Indianapolis","2003",1
"315","Indianapolis","2004",2
"316","Indianapolis","2005",1
"317","Indianapolis","2006",3
"318","Indianapolis","2007",6
"319","Indianapolis","2008",3
"320","Indianapolis","2009",1
"321","Indianapolis","2010",2
"322","Indianapolis","2011",2
"323","Indianapolis","2012",1
"324","Indianapolis","2013",0
"325","Indianapolis","2014",1
"326","Indianapolis","2015",0
"327","Indianapolis","2016",0
"328","Indianapolis","2017",0
"329","Indianapolis","2018",0
"330","Indianapolis","2019",0
"331","Dubuque","1990",0
"332","Dubuque","1991",0
"333","Dubuque","1992",0
"334","Dubuque","1993",1
"335","Dubuque","1994",0
"336","Dubuque","1995",2
"337","Dubuque","1996",0
"338","Dubuque","1997",0
"339","Dubuque","1998",0
"340","Dubuque","1999",0
"341","Dubuque","2000",0
"342","Dubuque","2001",0
"343","Dubuque","2002",1
"344","Dubuque","2003",0
"345","Dubuque","2004",0
"346","Dubuque","2005",0
"347","Dubuque","2006",1
"348","Dubuque","2007",5
"349","Dubuque","2008",1
"350","Dubuque","2009",0
"351","Dubuque","2010",0
