"","Year","Percent Catholic","Dioceses"
"1",1970,1.9,"birm"
"2",1976,2.2,"birm"
"3",1980,2.4,"birm"
"4",1990,2.5,"birm"
"5",1999,2.7,"birm"
"6",2000,2.8,"birm"
"7",2001,3.3,"birm"
"8",2002,3.3,"birm"
"9",2003,3.1,"birm"
"10",2004,2.7,"birm"
"11",2006,3.5,"birm"
"12",2012,3.5,"birm"
"13",2015,3.1,"birm"
"14",2018,3.4,"birm"
"15",1950,2.3,"mobi"
"16",1966,3,"mobi"
"17",1970,3.5,"mobi"
"18",1976,3.9,"mobi"
"19",1980,4,"mobi"
"20",1990,4.3,"mobi"
"21",1999,4.5,"mobi"
"22",2000,4.8,"mobi"
"23",2001,4.1,"mobi"
"24",2002,4.2,"mobi"
"25",2003,4,"mobi"
"26",2004,4,"mobi"
"27",2013,3.8,"mobi"
"28",2016,4.3,"mobi"
"29",1950,9,"fair"
"30",1966,15.3,"fair"
"31",1970,14.5,"fair"
"32",1976,13,"fair"
"33",1980,12,"fair"
"34",1990,13.6,"fair"
"35",1999,11.9,"fair"
"36",2000,12,"fair"
"37",2001,11.8,"fair"
"38",2002,12.2,"fair"
"39",2003,13.1,"fair"
"40",2004,12.4,"fair"
"41",2006,11.3,"fair"
"42",2013,8.5,"fair"
"43",2016,7.4,"fair"
"44",1966,7.5,"june"
"45",1968,7.1,"june"
"46",1976,11.2,"june"
"47",1980,9.7,"june"
"48",1990,10.1,"june"
"49",1999,8.1,"june"
"50",2000,8.3,"june"
"51",2001,7.4,"june"
"52",2002,8.5,"june"
"53",2003,8.8,"june"
"54",2004,7.4,"june"
"55",2006,10.2,"june"
"56",2011,13.4,"june"
"57",2013,13.4,"june"
"58",2016,13.3,"june"
"59",1950,28,"gall"
"60",1966,38,"gall"
"61",1968,27.5,"gall"
"62",1976,17.8,"gall"
"63",1980,14.9,"gall"
"64",1990,10.2,"gall"
"65",1999,11.7,"gall"
"66",2000,14.3,"gall"
"67",2001,14.3,"gall"
"68",2002,12.9,"gall"
"69",2003,11.3,"gall"
"70",2004,13.2,"gall"
"71",2006,12.8,"gall"
"72",2013,12.5,"gall"
"73",2016,12.5,"gall"
