Table,Variable Number,Variable Name 
,,
HD,1,UNITID
,,
HD,10001,INSTNM
,,
HD,10006,ADDR
,,
HD,10011,CITY
,,
HD,10016,STABBR
,,
HD,10021,ZIP
,,
HD,10026,FIPS
,,
HD,10031,OBEREG
,,
HD,10086,SECTOR
,,
HD,10091,ICLEVEL
,,
HD,10096,CONTROL
,,
HD,10101,HLOFFER
,,
HD,10126,DEGGRANT
,,
HD,10176,LOCALE
,,
HD,10181,OPENPUBL
,,
HD,10191,NEWID
,,
HD,10201,CLOSEDAT
,,
HD,10206,CYACTIVE
,,
HD,10171,CARNEGIE
,,
HD,16086,CBSA
,,
HD,16091,CBSATYPE
,,
HD,16106,LONGITUD
,,
HD,16111,LATITUDE
,,
IC,1,UNITID
,,
IC,10391,CNTLAFFI
,,
IC,10396,PUBPRIME
,,
IC,10406,RELAFFIL
,,
EFFY,1,UNITID
,,
EFFY,20661,EFFYLEV
,,
EFFY,22023,LSTUDY
,,
EFFY,20781,EFYTOTLT
,,
EFFY,20736,EFYTOTLM
,,
EFFY,24171,EFYHISPT
,,
EF_A,1,UNITID
,,
EF_A,20166,EFALEVEL
,,
EF_A,21985,LINE
,,
EF_A,21990,SECTION
,,
EF_A,21991,LSTUDY
,,
EF_A,20286,EFTOTLT
,,
EF_A,20241,EFTOTLM
,,
EF_A,24450,EFHISPT
,,
EF_CP,24544,UNITID
,,
EF_CP,21126,EFCIPLEV
,,
EF_CP,21994,CIPCODE
,,
EF_CP,21995,LINE
,,
EF_CP,21996,SECTION
,,
EF_CP,21997,LSTUDY
,,
EF_CP,21246,EFTOTLT
,,
EF_CP,21201,EFTOTLM
,,
EF_CP,24522,EFHISPT
