Table,Variable Number,Variable Name 

HD,1,UNITID

HD,10001,INSTNM

HD,10006,ADDR

HD,10011,CITY

HD,10016,STABBR

HD,10021,ZIP

HD,10026,FIPS

HD,10031,OBEREG

HD,10086,SECTOR

HD,10091,ICLEVEL

HD,10096,CONTROL

HD,10101,HLOFFER

HD,10126,DEGGRANT

HD,10176,LOCALE

HD,10181,OPENPUBL

HD,10191,NEWID

HD,10201,CLOSEDAT

HD,10206,CYACTIVE

HD,10171,CARNEGIE

HD,16086,CBSA

HD,16091,CBSATYPE

HD,16106,LONGITUD

HD,16111,LATITUDE

IC,1,UNITID

IC,10391,CNTLAFFI

IC,10396,PUBPRIME

IC,10406,RELAFFIL

IC,10966,ROOM

IC,10971,ROOMCAP

EFFY,1,UNITID

EFFY,20661,EFFYLEV

EFFY,22023,LSTUDY

EFFY,20781,EFYTOTLT

EFFY,20736,EFYTOTLM

EFFY,20741,EFYTOTLW

EFFY,24176,EFYAIANT

EFFY,24111,EFYAIANM

EFFY,24116,EFYAIANW

EFFY,24181,EFYASIAT

EFFY,24121,EFYASIAM

EFFY,24126,EFYASIAW

EFFY,24186,EFYBKAAT

EFFY,24131,EFYBKAAM

EFFY,24136,EFYBKAAW

EFFY,24171,EFYHISPT

EFFY,24101,EFYHISPM

EFFY,24106,EFYHISPW

EFFY,24191,EFYNHPIT

EFFY,24141,EFYNHPIM

EFFY,24146,EFYNHPIW

EFFY,24196,EFYWHITT

EFFY,24151,EFYWHITM

EFFY,24156,EFYWHITW

EFFY,24201,EFY2MORT

EFFY,24161,EFY2MORM

EFFY,24166,EFY2MORW

EFFY,20776,EFYUNKNT

EFFY,20726,EFYUNKNM

EFFY,20731,EFYUNKNW

EFFY,20746,EFYNRALT

EFFY,20666,EFYNRALM

EFFY,20671,EFYNRALW

EF_A,1,UNITID

EF_A,20166,EFALEVEL

EF_A,21985,LINE

EF_A,21990,SECTION

EF_A,21991,LSTUDY

EF_A,20286,EFTOTLT

EF_A,20241,EFTOTLM

EF_A,20246,EFTOTLW

EF_A,24432,EFAIANT

EF_A,24434,EFAIANM

EF_A,24436,EFAIANW

EF_A,24438,EFASIAT

EF_A,24440,EFASIAM

EF_A,24442,EFASIAW

EF_A,24444,EFBKAAT

EF_A,24446,EFBKAAM

EF_A,24448,EFBKAAW

EF_A,24450,EFHISPT

EF_A,24452,EFHISPM

EF_A,24454,EFHISPW

EF_A,24456,EFNHPIT

EF_A,24458,EFNHPIM

EF_A,24460,EFNHPIW

EF_A,24462,EFWHITT

EF_A,24464,EFWHITM

EF_A,24466,EFWHITW

EF_A,24468,EF2MORT

EF_A,24470,EF2MORM

EF_A,24472,EF2MORW

EF_A,20281,EFUNKNT

EF_A,20231,EFUNKNM

EF_A,20236,EFUNKNW

EF_A,20251,EFNRALT

EF_A,20171,EFNRALM

EF_A,20176,EFNRALW

EF_CP,24544,UNITID

EF_CP,21126,EFCIPLEV

EF_CP,21994,CIPCODE

EF_CP,21995,LINE

EF_CP,21996,SECTION

EF_CP,21997,LSTUDY

EF_CP,21246,EFTOTLT

EF_CP,21201,EFTOTLM

EF_CP,21206,EFTOTLW

EF_CP,24504,EFAIANT

EF_CP,24506,EFAIANM

EF_CP,24508,EFAIANW

EF_CP,24510,EFASIAT

EF_CP,24512,EFASIAM

EF_CP,24514,EFASIAW

EF_CP,24516,EFBKAAT

EF_CP,24518,EFBKAAM

EF_CP,24520,EFBKAAW

EF_CP,24522,EFHISPT

EF_CP,24524,EFHISPM

EF_CP,24526,EFHISPW

EF_CP,24528,EFNHPIT

EF_CP,24530,EFNHPIM

EF_CP,24532,EFNHPIW

EF_CP,24534,EFWHITT

EF_CP,24536,EFWHITM

EF_CP,24538,EFWHITW

EF_CP,24540,EF2MORT

EF_CP,24542,EF2MORM

EF_CP,24544,EF2MORW

EF_CP,21241,EFUNKNT

EF_CP,21191,EFUNKNM

EF_CP,21196,EFUNKNW

EF_CP,21211,EFNRALT

EF_CP,21131,EFNRALM

EF_CP,21136,EFNRALW
