varnumber,table,varname,codevalue,valuelabel
10086,HD,SECTOR,0,"Administrative Unit"
10086,HD,SECTOR,1,"Public, 4-year or above"
10086,HD,SECTOR,2,"Private not-for-profit, 4-year or above"
10086,HD,SECTOR,3,"Private for-profit, 4-year or above"
10086,HD,SECTOR,4,"Public, 2-year"
10086,HD,SECTOR,5,"Private not-for-profit, 2-year"
10086,HD,SECTOR,6,"Private for-profit, 2-year"
10086,HD,SECTOR,7,"Public, less-than 2-year"
10086,HD,SECTOR,8,"Private not-for-profit, less-than 2-year"
10086,HD,SECTOR,9,"Private for-profit, less-than 2-year"
10086,HD,SECTOR,99,"Sector unknown (not active)"
10126,HD,DEGGRANT,1,Degree-granting
10126,HD,DEGGRANT,2,"Nondegree-granting, primarily postsecondary"
10126,HD,DEGGRANT,-3,{Not available}
10126,HD,DEGGRANT,3,"Nondegree-granting, not primarily postsecondary"
10126,HD,DEGGRANT,4,Not an educational entity
10171,HD,CARNEGIE,11,Doctoral/Research Universities--Extensive
10171,HD,CARNEGIE,12,Doctoral/Research Universities--Intensive
10171,HD,CARNEGIE,13,Doctoral/Research Universities--Extensive
10171,HD,CARNEGIE,14,Doctoral/Research Universities--Intensive
10171,HD,CARNEGIE,15,Doctoral/Research Universities--Extensive
10171,HD,CARNEGIE,16,Doctoral/Research Universities--Intensive
10171,HD,CARNEGIE,21,Masters Colleges and Universities I
10171,HD,CARNEGIE,22,Masters Colleges and Universities II
10171,HD,CARNEGIE,31,Baccalaureate Colleges--Liberal Arts
10171,HD,CARNEGIE,32,Baccalaureate Colleges--General
10171,HD,CARNEGIE,33,Baccalaureate/Associates Colleges
10171,HD,CARNEGIE,40,Associates Colleges
10171,HD,CARNEGIE,51,Theological seminaries and other specialized faith-related institutions
10171,HD,CARNEGIE,52,Medical schools and medical centers
10171,HD,CARNEGIE,53,Other separate health profession schools
10171,HD,CARNEGIE,54,Schools of engineering and technology
10171,HD,CARNEGIE,55,Schools of business and management
10171,HD,CARNEGIE,56,"Schools of art, music, and design"
10171,HD,CARNEGIE,57,Schools of law
10171,HD,CARNEGIE,58,Teachers colleges
10171,HD,CARNEGIE,59,Other specialized institutions
10171,HD,CARNEGIE,60,Tribal colleges
10171,HD,CARNEGIE,-3,{Item not available}
10391,IC,CNTLAFFI,1,Public
10391,IC,CNTLAFFI,2,Private for-profit
